abbrev,country_name,corp_tax,ed_1,ed_2,ed_3,ed_4,fdi_inward,Immigration_pct,Patent_pct,r_and_d,private_flow_pct,unemployment_rate,lab_util,gdp_empl,inv_pct,trust_in_gov,compensation_per_hr ,fdi_flows,ease_of_doing_biz,ed_spending,wpop_pct,gdp,infl,lab_prod,work_prod
ISL,Iceland ,2.2582,,0.27680,0.37570,0.34720,-0.346640631,,0.10%,2.409641693,0.14%,4.617777733,827.3061085,108638.3867,22%,56.57490163,6.1174158,-0.223961737,79,1.761500183,66.67169848,22546.1262,4.2595616,67.43,100603.91
ISR,Israel,3.3844,0.03110,0.16670,0.50230,0.29820,4.685770717,,0.30%,5.313518831,,4.167222333,867.255679,93341.97836,23%,43.66324612,4.1037622,3.24068237,75.85,1.845166667,59.90889396,407803.768,1.38664888,60.81,97931.62
ITA,Italy,2.1228,0.02500,0.44560,0.36520,0.14980,0.682336074,0.07%,0.07%,1.461685129,0.05%,9.594999933,697.992544,113569.923,19%,28.93404328,1.8868262,0.835467998,72.95,1.45150495,63.71346433,2844515.13,2.33722006,74.36,83946.15
JPN,Japan,4.1442,,0.23445,0.38425,0.30305,0.429177441,0.07%,0.57%,3.250553684,0.64%,2.5805556,883.3680205,80856.35084,26%,38.83444794,2.23534575,1.953881747,78,1.420369333,59.55433623,5505700.1,0.741666606,53.74,69374.9
KOR,Korea,4.2068,0.02500,0.17060,0.33660,0.46780,0.822152098,0.01%,0.69%,4.717299433,0.53%,3.629999867,1016.563649,93130.39313,31%,41.19950095,4.92227075,1.817490148,84,1.778737833,72.06681656,2402626.38,1.99646966,49.59,63939.19
LTU,Lithuania,1.8296,0.00680,0.12950,0.50770,0.34870,4.157377514,,0.02%,1.043626217,-0.02%,6.808333267,810.2361574,84807.97206,21%,37.72205827,10.0042498,3.283712355,81.3,1.3405125,65.10113311,120932.874,6.124185,54.71,39171.9
LUX,Luxembourg,5.2066,0.00950,0.27390,0.31500,0.37770,-63.42283121,0.53%,0.51%,1.122080264,,5.562777867,1098.889052,167277.9126,17%,76.76859262,3.9686688,-16.93949485,69.6,1.065895652,69.44605883,81405.2102,2.59088026,166.08,223992.24
LVA,Latvia,0.7494,0.00230,0.13700,0.49350,0.29220,4.02148341,,0.02%,0.686449031,,7.247222267,767.9257884,71406.61382,22%,25.9490359,7.72879575,2.727053719,80.3,1.399347167,63.4518977,66973.9952,5.23020562,45.67,37200.92
MEX,Mexico,3.5514,0.12790,0.49140,0.23390,0.14570,2.635619232,0.01%,0.00%,,,3.730152267,950.051211,48694.81949,22%,45.22880164,5.849866,1.573844344,72.35,1.474726517,66.54658523,2683681.16,5.1035262,22.43,22685.08
NLD,Netherlands,3.6888,0.01420,0.27060,0.36960,0.33160,-2.162985642,0.19%,0.23%,2.228434121,0.48%,4.393333333,800.0562967,118523.0464,21%,62.21891483,3.1848884,-1.855302925,76.1,2.009869317,64.76564319,1125500.82,3.6573174,90.44,90982.26
NOR,Norway,8.792,0.00470,0.22450,0.36640,0.35780,1.224076712,0.12%,0.15%,2.088289207,0.76%,4.0577778,748.2032186,130462.4069,24%,70.3265014,3.4713136,1.625469104,82.75,2.184642017,65.06329486,449050.145,3.09343,123.63,151960.51
NZL,New Zealand,4.943,,0.23445,0.38425,0.30305,1.960998335,0.65%,0.08%,1.437699575,0.03%,4.031666667,940.2157319,86505.72415,24%,61.90245008,5.754061,0.994488504,86.9,1.88688715,65.30797029,235245.926,3.2091676,50.42,75521.47
POL,Poland,2.3916,0.00830,0.43160,0.30560,0.25450,3.289128988,0.20%,0.02%,1.33684237,0.01%,3.342222133,812.0550108,85069.99604,18%,35.98958295,8.0668838,1.856641258,76.65,1.51908715,66.37579633,1436747.23,5.355,48.75,36468.51
PRT,Portugal,2.9988,0.05070,0.49630,0.23650,0.20630,3.814856892,0.54%,0.02%,1.553547864,0.07%,6.7738888,803.074863,79314.49597,19%,54.72667518,4.9366754,2.405587967,76.45,1.72825385,63.7425051,396564.954,2.083560754,54.42,49384.93
SVK,Slovak Republic,3.3552,0.00230,0.15220,0.62640,0.21910,1.144158148,,0.01%,0.867789215,0.01%,6.3838888,722.2801274,82239.74336,20%,27.0470886,6.970962,0.698615569,75.5,1.43633415,67.37023993,195141.63,4.607859,47.56,40990.73
SVN,Slovenia,2.1372,0.00360,0.17940,0.52650,0.28520,2.405473376,,0.05%,2.063675423,0.29%,4.692777733,794.0025292,87907.96902,20%,37.58717799,5.1815096,1.795800645,76.45,1.3909345,64.45236153,92964.5138,2.813007838,60.14,56104.67
SWE,Sweden,3.0654,,0.21680,0.40540,0.37230,3.594817092,0.25%,0.33%,3.400100955,0.58%,7.655555467,731.4728819,117081.7615,26%,60.00311528,3.6061872,4.359134486,82,1.79283565,62.23673697,621174.505,2.95350826,85.73,112880.4
TUR,Türkiye,2.3678,0.13400,0.48430,0.20080,0.17790,1.355375291,,0.02%,1.34107188,0.01%,12.48888907,574.6819458,87727.94487,28%,51.35536226,,0.922316363,76.05,2.029439483,67.84250867,2591691.63,27.138714,40.18,38868.39
USA,United States,1.487,0.00310,0.04840,0.52270,0.42580,1.196693506,0.04%,0.23%,3.276351345,0.24%,4.9327778,825.3482824,140965.1397,20%,37.12748791,4.36838175,0.977362381,83.8,2.190869017,65.09238163,22345857.8,3.6378072,81.8,135490.37
