ref_area.label,time,obs_value
Türkiye,2022,37117.74
Türkiye,2021,37264.08
Türkiye,2020,35649.01
Türkiye,2019,33192.2
Türkiye,2018,32161.36
Türkiye,2017,32019.4
Türkiye,2016,30879.14
Türkiye,2015,30833.05
United Kingdom of Great Britain and Northern Ireland,2025,97127.4
United Kingdom of Great Britain and Northern Ireland,2024,96587.66
United Kingdom of Great Britain and Northern Ireland,2023,95973.29
United Kingdom of Great Britain and Northern Ireland,2022,96346.85
United Kingdom of Great Britain and Northern Ireland,2021,93829.97
United Kingdom of Great Britain and Northern Ireland,2020,85739.38
United Kingdom of Great Britain and Northern Ireland,2019,95120.08
United Kingdom of Great Britain and Northern Ireland,2018,94607.92
United Kingdom of Great Britain and Northern Ireland,2017,94484.67
United Kingdom of Great Britain and Northern Ireland,2016,93009.01
United Kingdom of Great Britain and Northern Ireland,2015,92752.5
United States of America,2025,135490.37
United States of America,2024,133113.95
United States of America,2023,129771.65
United States of America,2022,129542.6
United States of America,2021,128535.37
United States of America,2020,125598
United States of America,2019,120976.75
United States of America,2018,120060.74
United States of America,2017,118471.7
United States of America,2016,118259.84
United States of America,2015,117704.31
