abbrev,country_name,corp_tax,ed_1,ed_2,ed_3,ed_4,fdi_inward,immigration_pct,patent_pct,r_and_d,private_flow_pct,unemployment_rate,lab_util,gdp_empl,inv_pct,trust_in_gov,compensation_per_hr ,fdi_flows,ease_of_doing_biz,ed_spending,wpop_pct,gdp,infl,lab_prod,work_prod
ESP,Spain,2.3686,0.0558,0.3956,0.22,0.3104,2.372438367,0.001331052,0.000265118,1.332858273,0.004297105,14.60277733,701.8889611,100159.0506,0.200160924,35.16131014,3.364081,2.291785896,77.8,1.581309333,65.91880576,2041451.3,2.7070916,67.88,67468.6
EST,Estonia,1.7292,0.0015,0.1664,0.4373,0.3245,5.93399699,0.029067188,0.000259706,1.63612872,,5.708888933,839.6600273,86023.08066,0.275253727,46.32149872,7.94425,3.744850989,80.7,1.490433833,63.5009165,55777.0548,5.86409638,52.41,40894.09
FIN,Finland,2.5876,,0.2281,0.4173,0.347,2.033450155,0.002248358,0.002896552,2.863749044,0.004096733,7.255555533,733.1236267,113441.7936,0.239597763,69.8420881,2.4814282,2.605105441,80.1,1.935682483,61.90281758,305889.742,2.34331012,81.31,97199.9
FRA,France,2.419,0.0204,0.2624,0.4008,0.3079,0.95163823,0.00124693,0.001306182,2.222379266,0.001928526,8.133333533,631.4906327,122269.8587,0.239257119,40.15809544,1.5243826,1.406812366,76.8,2.0062915,61.75298016,3497115.67,2.06005336,82.21,93040.92
GBR,United Kingdom,2.6536,0.0536,0.1542,0.2644,0.2803,1.058212792,0.002,0.001106375,2.804135519,-4.85395E-07,4.131666667,728.2453725,107338.7115,0.179472106,37.58538889,3.5951918,1.153405469,83.55,2.146431167,63.77523202,3415221.95,3.08,69.49,97127.4
GRC,Greece,1.8605,0.0298,0.3236,0.3928,0.2483,2.552972334,,0.000154614,1.363254456,-8.81214E-05,16.8027782,837.1011007,71606.43965,0.122650696,32.17891146,0.9924604,1.549383455,67.9,1.168960398,63.58931558,344565.595,2.09994564,49.45,55834.72
HUN,Hungary,1.329,0.0034,0.2263,0.5413,0.2233,4.105225249,,0.000177344,1.554027484,0.013365632,3.717777867,819.4763255,77151.69975,0.268422818,43.1837868,8.5691694,3.194333118,73.3,1.380370252,65.46077965,358612.083,5.8469366,46.65,34157.92
IRL,Ireland,3.4834,0.002,0.2408,0.3446,0.3813,11.80681096,0.005037287,0.001767943,1.181504391,,5.474999933,792.9302703,216569.3198,0.322746708,60.27897359,3.663854,7.105964276,79.6,0.943675647,65.34163199,521298.771,2.25166962,139.12,176146.2
ISL,Iceland ,2.2582,,0.2768,0.3757,0.3472,-0.346640631,,0.001013157,2.409641693,0.001426397,4.617777733,827.3061085,108638.3867,0.217505728,56.57490163,6.1174158,-0.223961737,79,1.761500183,66.67169848,22546.1262,4.2595616,67.43,100603.91
ISR,Israel,3.3844,0.0311,0.1667,0.5023,0.2982,4.685770717,,0.002960067,5.313518831,,4.167222333,867.255679,93341.97836,0.233925923,43.66324612,4.1037622,3.24068237,75.85,1.845166667,59.90889396,407803.768,1.38664888,60.81,97931.62
ITA,Italy,2.1228,0.025,0.4456,0.3652,0.1498,0.682336074,0.000720767,0.000716003,1.461685129,0.000483699,9.594999933,697.992544,113569.923,0.193868335,28.93404328,1.8868262,0.835467998,72.95,1.45150495,63.71346433,2844515.13,2.33722006,74.36,83946.15
JPN,Japan,4.1442,,0.23445,0.38425,0.30305,0.429177441,0.000745303,0.00573255,3.250553684,0.006373578,2.5805556,883.3680205,80856.35084,0.25633325,38.83444794,2.23534575,1.953881747,78,1.420369333,59.55433623,5505700.1,0.741666606,53.74,69374.9
KOR,Korea,4.2068,0.025,0.1706,0.3366,0.4678,0.822152098,0.000134918,0.00686674,4.717299433,0.005339665,3.629999867,1016.563649,93130.39313,0.311657126,41.19950095,4.92227075,1.817490148,84,1.778737833,72.06681656,2402626.38,1.99646966,49.59,63939.19
LTU,Lithuania,1.8296,0.0068,0.1295,0.5077,0.3487,4.157377514,,0.000174057,1.043626217,-0.000218404,6.808333267,810.2361574,84807.97206,0.214075352,37.72205827,10.0042498,3.283712355,81.3,1.3405125,65.10113311,120932.874,6.124185,54.71,39171.9
LUX,Luxembourg,5.2066,0.0095,0.2739,0.315,0.3777,-63.42283121,0.005314023,0.005110235,1.122080264,,5.562777867,1098.889052,167277.9126,0.173805954,76.76859262,3.9686688,-16.93949485,69.6,1.065895652,69.44605883,81405.2102,2.59088026,166.08,223992.24
LVA,Latvia,0.7494,0.0023,0.137,0.4935,0.2922,4.02148341,,0.000155846,0.686449031,,7.247222267,767.9257884,71406.61382,0.22125894,25.9490359,7.72879575,2.727053719,80.3,1.399347167,63.4518977,66973.9952,5.23020562,45.67,37200.92
MEX,Mexico,3.5514,0.1279,0.4914,0.2339,0.1457,2.635619232,9.48063E-05,2.56523E-05,,,3.730152267,950.051211,48694.81949,0.21707327,45.22880164,5.849866,1.573844344,72.35,1.474726517,66.54658523,2683681.16,5.1035262,22.43,22685.08
NLD,Netherlands,3.6888,0.0142,0.2706,0.3696,0.3316,-2.162985642,0.001935967,0.00230035,2.228434121,0.004763207,4.393333333,800.0562967,118523.0464,0.210842166,62.21891483,3.1848884,-1.855302925,76.1,2.009869317,64.76564319,1125500.82,3.6573174,90.44,90982.26
NOR,Norway,8.792,0.0047,0.2245,0.3664,0.3578,1.224076712,0.00119996,0.001462917,2.088289207,0.007597455,4.0577778,748.2032186,130462.4069,0.235145881,70.3265014,3.4713136,1.625469104,82.75,2.184642017,65.06329486,449050.145,3.09343,123.63,151960.51
NZL,New Zealand,4.943,,0.23445,0.38425,0.30305,1.960998335,0.006535484,0.000772175,1.437699575,0.000265882,4.031666667,940.2157319,86505.72415,0.24302629,61.90245008,5.754061,0.994488504,86.9,1.88688715,65.30797029,235245.926,3.2091676,50.42,75521.47
POL,Poland,2.3916,0.0083,0.4316,0.3056,0.2545,3.289128988,0.001969822,0.000220665,1.33684237,0.000131988,3.342222133,812.0550108,85069.99604,0.178187913,35.98958295,8.0668838,1.856641258,76.65,1.51908715,66.37579633,1436747.23,5.355,48.75,36468.51
PRT,Portugal,2.9988,0.0507,0.4963,0.2365,0.2063,3.814856892,0.005408885,0.000245361,1.553547864,0.000672934,6.7738888,803.074863,79314.49597,0.190905485,54.72667518,4.9366754,2.405587967,76.45,1.72825385,63.7425051,396564.954,2.083560754,54.42,49384.93
SVK,Slovak Republic,3.3552,0.0023,0.1522,0.6264,0.2191,1.144158148,,0.000122306,0.867789215,5.87893E-05,6.3838888,722.2801274,82239.74336,0.201918495,27.0470886,6.970962,0.698615569,75.5,1.43633415,67.37023993,195141.63,4.607859,47.56,40990.73
SVN,Slovenia,2.1372,0.0036,0.1794,0.5265,0.2852,2.405473376,,0.000466032,2.063675423,0.002917451,4.692777733,794.0025292,87907.96902,0.20022994,37.58717799,5.1815096,1.795800645,76.45,1.3909345,64.45236153,92964.5138,2.813007838,60.14,56104.67
SWE,Sweden,3.0654,,0.2168,0.4054,0.3723,3.594817092,0.002487665,0.003338628,3.400100955,0.005830168,7.655555467,731.4728819,117081.7615,0.255370647,60.00311528,3.6061872,4.359134486,82,1.79283565,62.23673697,621174.505,2.95350826,85.73,112880.4
TUR,Türkiye,2.3678,0.134,0.4843,0.2008,0.1779,1.355375291,,0.000169123,1.34107188,0.000106684,12.48888907,574.6819458,87727.94487,0.282412144,51.35536226,,0.922316363,76.05,2.029439483,67.84250867,2591691.63,27.138714,40.18,38868.39
USA,United States,1.487,0.0031,0.0484,0.5227,0.4258,1.196693506,0.000427757,0.002329666,3.276351345,0.002360394,4.9327778,825.3482824,140965.1397,0.203722745,37.12748791,4.36838175,0.977362381,83.8,2.190869017,65.09238163,22345857.8,3.6378072,81.8,135490.37
